pesel	kod_szczepionki	data_szczepienia	numer_dawki
79051863861	sz16_1d	2023-01-02	1
84100517145	sz13_5d	2023-01-02	1
16282081343	sz11_1d	2023-01-03	1
49100272467	sz9_5d	2023-01-04	1
84102621222	sz24_3d	2023-01-04	1
82082216005	sz2_1d	2023-01-04	1
83112334665	sz10_4d	2023-01-05	1
66041288463	sz17_4d	2023-01-05	1
70092646345	sz18_2d	2023-01-06	1
76110342844	sz24_3d	2023-01-07	1
45081063085	sz1_3d	2023-01-09	1
09301516456	sz3_5d	2023-01-09	1
10312534432	sz17_4d	2023-01-10	1
67010570116	sz5_1d	2023-01-13	1
86072738562	sz23_1d	2023-01-14	1
40061254530	sz17_4d	2023-01-14	1
48110431189	sz2_1d	2023-01-14	1
10312534432	sz17_4d	2023-01-14	2
10310311172	sz17_4d	2023-01-15	1
16300823852	sz3_5d	2023-01-16	1
53090434860	sz5_1d	2023-01-16	1
24052488160	sz13_5d	2023-01-17	1
05240333862	sz3_5d	2023-01-17	1
92081270083	sz6_3d	2023-01-17	1
38031356427	sz12_3d	2023-01-17	1
10312534432	sz17_4d	2023-01-17	3
93112282745	sz1_3d	2023-01-20	1
71011800136	sz3_5d	2023-01-20	1
16300823852	sz3_5d	2023-01-20	2
05240333862	sz3_5d	2023-01-20	2
54091043679	sz24_3d	2023-01-21	1
42081853629	sz14_1d	2023-01-21	1
57041472565	sz21_5d	2023-01-22	1
98112510328	sz1_3d	2023-01-22	1
61021265627	sz6_3d	2023-01-22	1
32030317876	sz7_5d	2023-01-23	1
90092126526	sz20_5d	2023-01-23	1
05240333862	sz3_5d	2023-01-23	3
83060553569	sz6_3d	2023-01-24	1
70092646345	sz18_2d	2023-01-24	2
41030843137	sz10_4d	2023-01-25	1
53021561681	sz9_5d	2023-01-25	1
55020362126	sz16_1d	2023-01-25	1
54091043679	sz24_3d	2023-01-25	2
92081270083	sz6_3d	2023-01-26	2
45081063085	sz1_3d	2023-01-28	2
91060336024	sz11_1d	2023-01-29	1
80080226327	sz16_1d	2023-01-31	1
64092231119	sz9_5d	2023-02-01	1
08291910310	sz10_4d	2023-02-01	1
48061801325	sz1_3d	2023-02-02	1
70021874579	sz23_1d	2023-02-02	1
98050348614	sz16_1d	2023-02-02	1
87091162631	sz18_2d	2023-02-03	1
10310311172	sz17_4d	2023-02-03	2
65081647311	sz17_4d	2023-02-05	1
85100943510	sz23_1d	2023-02-05	1
17292354872	sz18_2d	2023-02-05	1
45070162760	sz19_2d	2023-02-06	1
42031545585	sz22_3d	2023-02-06	1
45070162760	sz19_2d	2023-02-07	2
83112334665	sz10_4d	2023-02-07	2
25030488327	sz5_1d	2023-02-08	1
20210133172	sz1_3d	2023-02-09	1
04270801619	sz11_1d	2023-02-09	1
97110802750	sz4_2d	2023-02-10	1
98041856731	sz7_5d	2023-02-10	1
37101054076	sz23_1d	2023-02-10	1
93050261185	sz9_5d	2023-02-10	1
65081647311	sz17_4d	2023-02-10	2
30100383077	sz12_3d	2023-02-11	1
40061254530	sz17_4d	2023-02-11	2
42031545585	sz22_3d	2023-02-11	2
76110342844	sz24_3d	2023-02-12	2
40061254530	sz17_4d	2023-02-13	3
60082758125	sz17_4d	2023-02-14	1
20210133172	sz1_3d	2023-02-14	2
90111200152	sz10_4d	2023-02-15	1
31041903249	sz15_5d	2023-02-16	1
78072755089	sz10_4d	2023-02-16	1
84102621222	sz24_3d	2023-02-17	2
32040742572	sz5_1d	2023-02-18	1
46080951036	sz7_5d	2023-02-18	1
84100517145	sz13_5d	2023-02-18	2
34012684172	sz14_1d	2023-02-19	1
08291910310	sz10_4d	2023-02-19	2
42060124829	sz17_4d	2023-02-20	1
63102051064	sz4_2d	2023-02-20	1
17292354872	sz18_2d	2023-02-20	2
45110767443	sz13_5d	2023-02-21	1
32030317876	sz7_5d	2023-02-21	2
65050212713	sz21_5d	2023-02-22	1
60031173410	sz23_1d	2023-02-22	1
98112510328	sz1_3d	2023-02-22	2
86021746620	sz7_5d	2023-02-23	1
26041262342	sz10_4d	2023-02-23	1
53021561681	sz9_5d	2023-02-23	2
42031545585	sz22_3d	2023-02-23	3
84102621222	sz24_3d	2023-02-24	3
10310311172	sz17_4d	2023-02-24	3
16300823852	sz3_5d	2023-02-25	3
22061550465	sz7_5d	2023-02-27	1
99021103418	sz17_4d	2023-02-27	1
99012450808	sz14_1d	2023-02-28	1
98041856731	sz7_5d	2023-02-28	2
43101322879	sz16_1d	2023-03-01	1
99021103418	sz17_4d	2023-03-01	2
45081063085	sz1_3d	2023-03-02	3
54091043679	sz24_3d	2023-03-02	3
07220613456	sz15_5d	2023-03-03	1
69110348064	sz17_4d	2023-03-03	1
39061346714	sz3_5d	2023-03-03	1
52091470709	sz22_3d	2023-03-03	1
91091231703	sz24_3d	2023-03-03	1
90090471215	sz9_5d	2023-03-03	1
49100272467	sz9_5d	2023-03-03	2
32030317876	sz7_5d	2023-03-03	3
84100517145	sz13_5d	2023-03-03	3
78071177819	sz15_5d	2023-03-04	1
10312534432	sz17_4d	2023-03-04	4
41061773452	sz5_1d	2023-03-05	1
66041288463	sz17_4d	2023-03-05	2
31041903249	sz15_5d	2023-03-05	2
71012483189	sz10_4d	2023-03-06	1
83060553569	sz6_3d	2023-03-06	2
65030670029	sz10_4d	2023-03-07	1
63040182040	sz12_3d	2023-03-07	1
71011800136	sz3_5d	2023-03-07	2
13261582682	sz21_5d	2023-03-08	1
69110348064	sz17_4d	2023-03-08	2
87091162631	sz18_2d	2023-03-08	2
90090471215	sz9_5d	2023-03-08	2
00311154463	sz22_3d	2023-03-09	1
36031070156	sz5_1d	2023-03-09	1
10271177235	sz12_3d	2023-03-09	1
93112282745	sz1_3d	2023-03-09	2
38062614242	sz19_2d	2023-03-10	1
98112510328	sz1_3d	2023-03-10	3
25080958106	sz24_3d	2023-03-11	1
93050261185	sz9_5d	2023-03-11	2
80091722724	sz11_1d	2023-03-12	1
64040663481	sz8_2d	2023-03-12	1
83112334665	sz10_4d	2023-03-12	3
71011800136	sz3_5d	2023-03-12	3
53021561681	sz9_5d	2023-03-12	3
16300823852	sz3_5d	2023-03-12	4
53020857150	sz19_2d	2023-03-13	1
78072755089	sz10_4d	2023-03-13	2
63102051064	sz4_2d	2023-03-13	2
66041288463	sz17_4d	2023-03-13	3
99021103418	sz17_4d	2023-03-13	3
99101516413	sz5_1d	2023-03-14	1
65081647311	sz17_4d	2023-03-14	3
29062485408	sz8_2d	2023-03-15	1
97010868706	sz6_3d	2023-03-15	1
38062614242	sz19_2d	2023-03-15	2
45110767443	sz13_5d	2023-03-15	2
32102212445	sz17_4d	2023-03-16	1
68050352812	sz11_1d	2023-03-16	1
78071177819	sz15_5d	2023-03-16	2
42060124829	sz17_4d	2023-03-16	2
57041472565	sz21_5d	2023-03-16	2
91091231703	sz24_3d	2023-03-16	2
61021265627	sz6_3d	2023-03-16	2
51100554870	sz12_3d	2023-03-17	1
24041654512	sz15_5d	2023-03-18	1
64032648739	sz2_1d	2023-03-18	1
48061801325	sz1_3d	2023-03-18	2
60082758125	sz17_4d	2023-03-18	2
23070540539	sz23_1d	2023-03-19	1
01281046787	sz11_1d	2023-03-19	1
26041262342	sz10_4d	2023-03-19	2
64040663481	sz8_2d	2023-03-19	2
05240333862	sz3_5d	2023-03-19	4
95040835284	sz22_3d	2023-03-20	1
98041856731	sz7_5d	2023-03-21	3
99081934786	sz16_1d	2023-03-22	1
96021344773	sz16_1d	2023-03-22	1
86021746620	sz7_5d	2023-03-22	2
92081270083	sz6_3d	2023-03-22	3
40102760035	sz15_5d	2023-03-23	1
22061550465	sz7_5d	2023-03-23	2
40110282239	sz16_1d	2023-03-24	1
32030317876	sz7_5d	2023-03-24	4
69011455173	sz3_5d	2023-03-25	1
64092231119	sz9_5d	2023-03-25	2
41030843137	sz10_4d	2023-03-25	2
10310311172	sz17_4d	2023-03-25	4
93070838835	sz10_4d	2023-03-26	1
99041150047	sz2_1d	2023-03-26	1
50012632267	sz1_3d	2023-03-26	1
32102212445	sz17_4d	2023-03-26	2
37052121560	sz7_5d	2023-03-27	1
56081687229	sz15_5d	2023-03-27	1
13261582682	sz21_5d	2023-03-27	2
64092231119	sz9_5d	2023-03-27	3
78072755089	sz10_4d	2023-03-27	3
40061254530	sz17_4d	2023-03-28	4
83101788068	sz2_1d	2023-03-29	1
83112334665	sz10_4d	2023-03-29	4
94081966713	sz22_3d	2023-03-30	1
89070960003	sz6_3d	2023-03-30	1
02212382389	sz17_4d	2023-03-30	1
38061283627	sz24_3d	2023-03-30	1
10271177235	sz12_3d	2023-03-30	2
03211634460	sz15_5d	2023-03-31	1
29100537562	sz24_3d	2023-03-31	1
97071728283	sz16_1d	2023-03-31	1
32041378561	sz15_5d	2023-03-31	1
52091470709	sz22_3d	2023-03-31	2
17262450063	sz3_5d	2023-04-01	1
37012011221	sz17_4d	2023-04-01	1
70030713384	sz1_3d	2023-04-01	1
33112436140	sz3_5d	2023-04-01	1
07311488060	sz5_1d	2023-04-02	1
29011182806	sz15_5d	2023-04-02	1
26032581124	sz12_3d	2023-04-02	1
91072117376	sz6_3d	2023-04-03	1
76092051060	sz19_2d	2023-04-04	1
97110802750	sz4_2d	2023-04-04	2
26032581124	sz12_3d	2023-04-04	2
93050261185	sz9_5d	2023-04-04	3
65060486027	sz8_2d	2023-04-05	1
22020762584	sz9_5d	2023-04-05	1
56081687229	sz15_5d	2023-04-05	2
32030317876	sz7_5d	2023-04-05	5
65030670029	sz10_4d	2023-04-06	2
65081647311	sz17_4d	2023-04-06	4
22020762584	sz9_5d	2023-04-07	2
50012632267	sz1_3d	2023-04-07	2
27012687184	sz20_5d	2023-04-08	1
30100383077	sz12_3d	2023-04-08	2
90111200152	sz10_4d	2023-04-09	2
96050148524	sz21_5d	2023-04-10	1
00311154463	sz22_3d	2023-04-10	2
48061801325	sz1_3d	2023-04-10	3
60082758125	sz17_4d	2023-04-10	3
71011800136	sz3_5d	2023-04-10	4
28031471389	sz6_3d	2023-04-11	1
39060618047	sz1_3d	2023-04-11	1
24041654512	sz15_5d	2023-04-11	2
34022067536	sz2_1d	2023-04-12	1
13312680684	sz8_2d	2023-04-12	1
94020761023	sz7_5d	2023-04-12	1
31032705573	sz6_3d	2023-04-12	1
86071983666	sz20_5d	2023-04-12	1
31041903249	sz15_5d	2023-04-12	3
42060124829	sz17_4d	2023-04-12	3
72060723681	sz12_3d	2023-04-13	1
45021842422	sz12_3d	2023-04-13	1
76110342844	sz24_3d	2023-04-13	3
31041903249	sz15_5d	2023-04-13	4
78072755089	sz10_4d	2023-04-13	4
46080951036	sz7_5d	2023-04-14	2
08291910310	sz10_4d	2023-04-14	3
40102760035	sz15_5d	2023-04-15	2
28030148370	sz20_5d	2023-04-16	1
83101153666	sz1_3d	2023-04-16	1
94081966713	sz22_3d	2023-04-16	2
22061550465	sz7_5d	2023-04-16	3
35110373575	sz24_3d	2023-04-17	1
81061686570	sz4_2d	2023-04-17	1
91072117376	sz6_3d	2023-04-17	2
56081687229	sz15_5d	2023-04-17	3
29100537562	sz24_3d	2023-04-18	2
37052121560	sz7_5d	2023-04-18	2
83101153666	sz1_3d	2023-04-18	2
32090814225	sz24_3d	2023-04-19	1
59022461487	sz4_2d	2023-04-19	1
71012483189	sz10_4d	2023-04-19	2
65050212713	sz21_5d	2023-04-19	2
35110373575	sz24_3d	2023-04-19	2
90012244604	sz13_5d	2023-04-20	1
70030713384	sz1_3d	2023-04-20	2
41030843137	sz10_4d	2023-04-20	3
26032581124	sz12_3d	2023-04-20	3
45070184010	sz8_2d	2023-04-21	1
95040835284	sz22_3d	2023-04-21	2
93112282745	sz1_3d	2023-04-21	3
51100554870	sz12_3d	2023-04-22	2
47092443487	sz7_5d	2023-04-23	1
64102016279	sz22_3d	2023-04-23	1
39091144575	sz18_2d	2023-04-23	1
49100272467	sz9_5d	2023-04-23	3
61021265627	sz6_3d	2023-04-23	3
85050228017	sz1_3d	2023-04-24	1
03310777381	sz14_1d	2023-04-24	1
56041150323	sz12_3d	2023-04-24	1
07220613456	sz15_5d	2023-04-24	2
32041378561	sz15_5d	2023-04-24	2
86021746620	sz7_5d	2023-04-24	3
31032705573	sz6_3d	2023-04-25	2
71012483189	sz10_4d	2023-04-26	3
32102212445	sz17_4d	2023-04-26	3
05240333862	sz3_5d	2023-04-26	5
86102107269	sz22_3d	2023-04-27	1
66081042830	sz24_3d	2023-04-27	1
92042672880	sz5_1d	2023-04-27	1
40102760035	sz15_5d	2023-04-27	3
12291036743	sz24_3d	2023-04-28	1
45021842422	sz12_3d	2023-04-28	2
37012011221	sz17_4d	2023-04-28	2
53021561681	sz9_5d	2023-04-28	4
60082758125	sz17_4d	2023-04-28	4
52070958316	sz3_5d	2023-04-29	1
86021746620	sz7_5d	2023-04-29	4
66041288463	sz17_4d	2023-04-29	4
34090407429	sz23_1d	2023-04-30	1
58090134802	sz23_1d	2023-04-30	1
83101153666	sz1_3d	2023-04-30	3
06292086487	sz16_1d	2023-05-01	1
92082756773	sz20_5d	2023-05-01	1
83060553569	sz6_3d	2023-05-01	3
49100272467	sz9_5d	2023-05-01	4
75091401029	sz23_1d	2023-05-02	1
98022586729	sz18_2d	2023-05-02	1
39061346714	sz3_5d	2023-05-02	2
27012687184	sz20_5d	2023-05-02	2
63040182040	sz12_3d	2023-05-02	2
92082756773	sz20_5d	2023-05-02	2
35110373575	sz24_3d	2023-05-02	3
46082713344	sz6_3d	2023-05-03	1
38032421818	sz22_3d	2023-05-03	1
54100222107	sz23_1d	2023-05-03	1
55070171143	sz18_2d	2023-05-04	1
96092538262	sz16_1d	2023-05-04	1
85050228017	sz1_3d	2023-05-04	2
39060618047	sz1_3d	2023-05-04	2
81061686570	sz4_2d	2023-05-04	2
65030670029	sz10_4d	2023-05-04	3
50012632267	sz1_3d	2023-05-04	3
22061550465	sz7_5d	2023-05-04	4
24020285551	sz21_5d	2023-05-05	1
69110348064	sz17_4d	2023-05-05	3
22020762584	sz9_5d	2023-05-05	3
98041856731	sz7_5d	2023-05-05	4
72060723681	sz12_3d	2023-05-06	2
13312680684	sz8_2d	2023-05-06	2
66081042830	sz24_3d	2023-05-06	2
29062485408	sz8_2d	2023-05-06	2
26041262342	sz10_4d	2023-05-06	3
32102212445	sz17_4d	2023-05-06	4
02302335167	sz11_1d	2023-05-07	1
29011182806	sz15_5d	2023-05-07	2
64092231119	sz9_5d	2023-05-07	4
93050261185	sz9_5d	2023-05-07	4
55041052581	sz23_1d	2023-05-08	1
89101688179	sz1_3d	2023-05-08	1
45110767443	sz13_5d	2023-05-08	3
32111562429	sz19_2d	2023-05-09	1
47052212083	sz6_3d	2023-05-09	1
61090462435	sz19_2d	2023-05-09	1
96050148524	sz21_5d	2023-05-09	2
57041472565	sz21_5d	2023-05-09	3
73090301661	sz7_5d	2023-05-10	1
20310582733	sz17_4d	2023-05-10	1
98041856731	sz7_5d	2023-05-10	5
20241155387	sz16_1d	2023-05-11	1
09250980155	sz5_1d	2023-05-11	1
88080615549	sz2_1d	2023-05-11	1
90012244604	sz13_5d	2023-05-11	2
22020762584	sz9_5d	2023-05-11	4
03292731409	sz21_5d	2023-05-12	1
29100537562	sz24_3d	2023-05-12	3
24020376433	sz14_1d	2023-05-13	1
65071020728	sz2_1d	2023-05-13	1
40030586066	sz1_3d	2023-05-13	1
38061283627	sz24_3d	2023-05-13	2
10271177235	sz12_3d	2023-05-13	3
49100272467	sz9_5d	2023-05-13	5
74112084438	sz11_1d	2023-05-14	1
90080436378	sz22_3d	2023-05-14	1
07220613456	sz15_5d	2023-05-14	3
85050228017	sz1_3d	2023-05-14	3
46080951036	sz7_5d	2023-05-14	3
31090734821	sz23_1d	2023-05-15	1
40090714865	sz6_3d	2023-05-15	1
56091246823	sz14_1d	2023-05-15	1
94081966713	sz22_3d	2023-05-15	3
65030670029	sz10_4d	2023-05-15	4
90080436378	sz22_3d	2023-05-16	2
56041150323	sz12_3d	2023-05-16	2
89070960003	sz6_3d	2023-05-17	2
13261582682	sz21_5d	2023-05-17	3
31041903249	sz15_5d	2023-05-17	5
44082173568	sz19_2d	2023-05-18	1
55060455325	sz9_5d	2023-05-18	1
22070725887	sz5_1d	2023-05-18	1
99040678016	sz8_2d	2023-05-18	1
03211634460	sz15_5d	2023-05-18	2
24041654512	sz15_5d	2023-05-18	3
17272041019	sz17_4d	2023-05-19	1
99010552052	sz4_2d	2023-05-19	1
23011274367	sz17_4d	2023-05-19	1
13301582122	sz14_1d	2023-05-19	1
02212382389	sz17_4d	2023-05-19	2
93070838835	sz10_4d	2023-05-19	2
50110411155	sz11_1d	2023-05-20	1
65060486027	sz8_2d	2023-05-20	2
39091144575	sz18_2d	2023-05-20	2
60110562638	sz9_5d	2023-05-21	1
41030843137	sz10_4d	2023-05-22	4
53021561681	sz9_5d	2023-05-22	5
91061824344	sz19_2d	2023-05-23	1
13261582682	sz21_5d	2023-05-23	4
31060116129	sz14_1d	2023-05-24	1
39092181337	sz15_5d	2023-05-24	1
28031471389	sz6_3d	2023-05-24	2
69011455173	sz3_5d	2023-05-24	2
63040182040	sz12_3d	2023-05-24	3
07252700380	sz15_5d	2023-05-25	1
34101170524	sz19_2d	2023-05-25	1
03300388713	sz24_3d	2023-05-26	1
20230310537	sz16_1d	2023-05-27	1
27012687184	sz20_5d	2023-05-27	3
22020762584	sz9_5d	2023-05-27	5
39061346714	sz3_5d	2023-05-28	3
00311154463	sz22_3d	2023-05-28	3
93050261185	sz9_5d	2023-05-28	5
35061038776	sz3_5d	2023-05-29	1
17272041019	sz17_4d	2023-05-29	2
28030148370	sz20_5d	2023-05-29	2
28031471389	sz6_3d	2023-05-29	3
17262450063	sz3_5d	2023-05-30	2
64102016279	sz22_3d	2023-05-30	2
51100554870	sz12_3d	2023-05-30	3
39060618047	sz1_3d	2023-05-30	3
45110767443	sz13_5d	2023-05-30	4
52070958316	sz3_5d	2023-05-31	2
45021842422	sz12_3d	2023-05-31	3
56041150323	sz12_3d	2023-05-31	3
