id_klienta	imie	nazwisko	emeryt
K001	Genowefa	Kurdzielewicz	NIE
K002	Joanna	Sapek	NIE
K003	Mateusz	Fido	NIE
K004	Gabriela	Rasiewicz	NIE
K005	Jolanta	Popielska	NIE
K006	Joanna	Paszkiewicz	NIE
K007	Katarzyna	Jarosz	NIE
K008	Katarzyna	Nowakowicz	NIE
K009	Karolina	Dutka	TAK
K010	Anna	Niewiara	NIE
K011	Katarzyna	Wycisk	NIE
K012	Monika	Karbowiak	TAK
K013	Mariola	Ciecierska	TAK
K014	Joanna	Jokiel	NIE
K015	Adam	Fenoszyn	NIE
K016	Alicja	Pastuszka	NIE
K017	Maria	Bartusiak	TAK
K018	Robert	Smutniewicz	TAK
K019	Blanka	Pilich	NIE
K020	Katarzyna	Stech	TAK
K021	Ewa	Panczewska	NIE
K022	Jowita	Grochowska	TAK
K023	Katarzyna	Charabin	NIE
K024	Weronika	Adamczyk	NIE
K025	Magdalena	Czerkasow	NIE
K026	Tomasz	Wasilewski	TAK
K027	Aleksandra	Fatura	TAK
K028	Urszula	Maluszkiewicz	TAK
K029	Monika	Mamzer	NIE
K030	Maryla	Litwin	TAK
K031	Paulina	Chybowska	NIE
K032	Ignacy	Ramotowski	NIE
K033	Daniel	Wasikowski	NIE
K034	Ewelina 	Lica	NIE
K035	Sandra	Zabawna	NIE
K036	Grzegorz	Radwan	NIE
K037	Marta	Bednarska	NIE
K038	Bartosz	Bonczak	NIE
K039	Mateusz	Cagara	TAK
K040	Natalia	Gilowska	NIE
K041	Konrad	Tosiek	NIE
K042	Tomasz	Kaluza	NIE
K043	Andrzej	Baginski	NIE
K044	Agnieszka	Stasiak	NIE
K045	Grzegorz	Sikora	NIE
K046	Edyta	Man	NIE
K047	Maria	Mroczka	TAK
K048	Kacper	Pisarek	TAK
K049	Piotr	Michalski	NIE
K050	Tomasz	Galas	TAK
K051	Maciej	Lichwa	NIE
K052	Anna	Wiatr	NIE
K053	Michal	Szymanowski	NIE
K054	Jagoda	Piskorz	NIE
K055	Milena	Przybylska	NIE
K056	Eryk	Mazur	NIE
K057	Lukasz	Rusin	TAK
K058	Barnaba	Kurys	NIE
K059	Adam	Chopyk	NIE
K060	Jolanta	Matczuk	NIE
K061	Magdalena	Dawidowicz	NIE
K062	Helena	Ziaja	NIE
K063	Sandra	Bogatycka	TAK
K064	Agata	Grondowy	NIE
K065	Monika	Marzec	NIE
K066	Karolina	Budziak	NIE
K067	Paula	Witczak	TAK
K068	Magdalena	Wieczorek	NIE
K069	Anna	Foley	NIE
K070	Agata	Gil	TAK
K071	Karol	Adamowicz	TAK
K072	Ewelina	Popow	NIE
K073	Iwona	Janocha	NIE
K074	Magdalena	Biela	NIE
K075	Antoni	Brygier	NIE
K076	Andrzej	Lefek	NIE
K077	Halina	Magiera	NIE
K078	Katarzyna	Wierzbicka	NIE
K079	Eryk	Mura	TAK
K080	Pawel	Andrzejewski	NIE
K081	Kamila	Dunaj	NIE
K082	Artur	Guzdek	TAK
K083	Aneta	Kowalska	NIE
K084	Tomasz	Romanowski	TAK
K085	Artur	Grzybowski	NIE
K086	Marcin	Jurkowski	NIE
